,customer_email,current_year,last_year
122,gudeuwxaul@gmail.com,219.69,27.62
123, afelnlcsze@gmail.com,127.53,148.0
124,ugbcslvmba@gmail.com,160.79,160.15
125,rfrszmpqhw@gmail.com,176.7,185.58
126, rkjybkekdw@gmail.com,140.69,134.98
127,abqvlendym@gmail.com,51.95,43.46
128, hkzzlkumzz@gmail.com,212.37,234.78
129,jwqupqhgxh@gmail.com,243.9,12.43
130,qbehnpvruw@gmail.com,51.35,210.47
131, esuloywjch@gmail.com,4.16,31.69
132,djqvxyzxov@gmail.com,93.13,43.79
133, tmcxhtowwq@gmail.com,214.49,37.01
134,ehqcnwzehh@gmail.com,143.42,158.03
135,htbvpqswcr@gmail.com,211.96,105.52
136,juixqaaidu@gmail.com,122.57,199.99
137,fnwcmuveku@gmail.com,178.7,101.13
138, dbfcyfzrgt@gmail.com,99.45,79.3
139,svjhvpcono@gmail.com,195.44,165.09
140, bmpysqygnh@gmail.com,160.2,104.43
141,tkkclkqeqj@gmail.com,60.12,46.03
142, pgotonedid@gmail.com,46.31,3.34
143,fucxeeijrh@gmail.com,29.1,125.46
144,qzgnasbuyb@gmail.com,128.45,13.1
145, fpiccbyhsm@gmail.com,134.6,204.41
146,nedeytvybv@gmail.com,93.96,42.21
147, pjoccvoryz@gmail.com,81.24,168.05
148, fxhtuwtulp@gmail.com,6.36,122.58
149,ivesicrimp@gmail.com,89.74,241.06
150, pydpbjofxk@gmail.com,199.74,168.65
151,hvhhhmwwvj@gmail.com,192.12,171.57
152, ezcewvesmv@gmail.com,111.11,134.22
153,gchmimtefw@gmail.com,226.01,136.65
154, ykcjignxli@gmail.com,12.99,82.02
155, bvcxisdtdp@gmail.com,210.25,170.05
156, zulxnconfy@gmail.com,17.53,222.82
157, xzgsogxcyk@gmail.com,234.23,218.9
158, iqfwbmtrvo@gmail.com,176.38,165.64
159, qhxklhbpob@gmail.com,217.43,211.51
160,hwqpjmtcxx@gmail.com,197.33,24.6
161, ipvtxyejah@gmail.com,67.5,60.59
162, kdlndcevpt@gmail.com,124.44,208.51
163,xdorczstoo@gmail.com,235.62,78.64
164, buwmyzvtht@gmail.com,211.85,244.98
165, qrludzchrr@gmail.com,16.51,109.52
166, rtzodriusm@gmail.com,182.47,236.74
167,vvgftnehgs@gmail.com,214.17,210.79
168, vqiwyqbmme@gmail.com,135.16,9.52
169, ntjyrwacnp@gmail.com,79.71,231.56
170,asoblgvztx@gmail.com,57.18,67.34
171,ggrzeadiyh@gmail.com,39.37,12.3
172,ssidfctozg@gmail.com,225.73,78.26
173, ubnrannlfv@gmail.com,1.03,70.23
174, hujshtyols@gmail.com,165.75,201.24
175,erwkvvnnmr@gmail.com,232.96,22.21
176,dbzhywziqb@gmail.com,109.68,13.38
177,evybfellpx@gmail.com,15.38,202.86
178,peamjuzvbp@gmail.com,43.94,100.71
179,lcxfbnitqg@gmail.com,155.07,62.67
180,rhvthnqsrs@gmail.com,166.24,240.45
181, mzelywkksv@gmail.com,32.74,243.62
182,gaafostylu@gmail.com,187.93,186.12
183, dtjzzjwaty@gmail.com,190.41,201.5
184,dlcuaqkxrw@gmail.com,161.59,14.89
185, isgfuwnwjq@gmail.com,113.0,25.21
186, gbvlmmisib@gmail.com,198.03,50.25
187,fuofwrzgfk@gmail.com,193.44,198.77
188,bszgjxeqws@gmail.com,199.54,182.2
189,owzhnvselo@gmail.com,66.83,217.83
190,bmmiqvjnht@gmail.com,66.72,224.93
191,lbrwynzkhe@gmail.com,246.88,153.41
192, bcudoqhmuj@gmail.com,53.64,2.77
193,okjfcynysi@gmail.com,167.22,90.57
194, nnmtprenos@gmail.com,82.55,95.33
195,kghhyvlntq@gmail.com,27.82,204.22
196, kbhlqroibh@gmail.com,185.96,152.34
197,jenammdfcf@gmail.com,21.62,178.79
198, wixlletwwo@gmail.com,189.07,243.36
199,toutufiyrm@gmail.com,200.54,123.53
200,anrxvuauct@gmail.com,145.14,236.92
201, fieyzojqeh@gmail.com,9.78,228.32
202,gydcpyabdl@gmail.com,114.94,160.08
203, jidnxfaols@gmail.com,139.35,170.83
204, xlrsxgdspd@gmail.com,94.66,200.87
205,ofkoaufjkl@gmail.com,33.48,220.79
206,flaokrgjcr@gmail.com,224.39,211.3
207,pcnrxxlyzp@gmail.com,212.33,239.52
208,ydwfpgkyde@gmail.com,99.6,23.44
209, iftlnuqypw@gmail.com,99.44,179.96
210,kfofexllsh@gmail.com,104.65,236.11
211, cevbzdzdrp@gmail.com,145.47,3.15
212,fryfsawqfd@gmail.com,68.54,25.91
213, kqwdhxwkvg@gmail.com,72.56,78.42
214,zwppqlqqms@gmail.com,62.48,114.5
215, puyayjawgj@gmail.com,140.64,224.25
216,cjuwqbjzcs@gmail.com,57.01,150.27
217,jwzhddxvqy@gmail.com,3.15,44.84
218,nshzayipru@gmail.com,141.94,97.6
219,yisgtsuegv@gmail.com,180.63,15.95
220,wjvlqhdite@gmail.com,161.89,18.52
221,gmfsomkcyp@gmail.com,110.13,143.45
222, ffqhhmqzzt@gmail.com,107.52,134.53
223,okyjlvodyw@gmail.com,93.14,22.97
224, knllafhnud@gmail.com,92.3,44.71
225,bccddbnxcu@gmail.com,32.69,41.76
226, chwvbkxldp@gmail.com,56.36,24.36
227,yrhbquznfp@gmail.com,184.53,108.66
228, mpsidlsabb@gmail.com,63.85,200.26
229,mccoeqigxh@gmail.com,52.78,14.57
230, szsinahret@gmail.com,190.06,30.24
231,xvvqxzknja@gmail.com,198.41,65.78
232, hfuikooncq@gmail.com,137.75,36.84
233,lsxhhttoeo@gmail.com,109.98,9.82
234,kuvwupuvyw@gmail.com,56.1,46.03
235, qdqlyeuugp@gmail.com,87.06,225.03
236,kynebkyllj@gmail.com,48.43,46.68
237,mbdphqdvlo@gmail.com,48.91,173.75
238,dcfaifmxwq@gmail.com,249.95,63.86
239,fvgymzsmir@gmail.com,241.1,44.47
240, vzcwtlsjdz@gmail.com,117.08,79.09
241,ucviwucrvv@gmail.com,82.95,115.44
242,wgnrlklbad@gmail.com,232.26,55.62
243,njpzzyhbft@gmail.com,235.25,57.41
244,kbcrfbcmdj@gmail.com,31.9,55.54
245,xdxiyzjrdy@gmail.com,16.07,86.28
246,slzpjegcib@gmail.com,192.84,58.07
247,jafizhpsdo@gmail.com,209.25,152.73
248,ppfjyuebgm@gmail.com,209.26,63.51
249, yqrbwlbhlw@gmail.com,249.51,80.76
250,byuvjxzokl@gmail.com,174.68,21.2
251,htnifhygrf@gmail.com,108.17,133.25
252, yflbppbijj@gmail.com,227.77,245.93
253, ywkipgqnae@gmail.com,73.44,41.8
254,nxcowxxqft@gmail.com,108.33,46.47
255,yoppndonsd@gmail.com,114.2,117.56
256, xpcsxpbenr@gmail.com,29.97,105.56
257,isfecsitnd@gmail.com,243.54,49.64
258, yekvofrghb@gmail.com,183.71,162.41
259,yyzmqzauxs@gmail.com,185.24,28.66
260, nuklupasgq@gmail.com,19.54,105.36
261,qtnkncwifu@gmail.com,179.64,148.49
262, oxzrwjlzsd@gmail.com,199.72,169.91
263,wbiuftolkl@gmail.com,100.05,153.8
264,ptuveuyygi@gmail.com,168.74,66.39
265,ncrtxqtpvs@gmail.com,244.82,113.95
266,gabbpvlmor@gmail.com,245.29,136.14
267,lbqucactfi@gmail.com,50.15,28.98
268, bfquisuvjl@gmail.com,53.28,187.27
269,acdvpslqrw@gmail.com,22.46,225.85
270,yugkdamptz@gmail.com,11.13,112.65
271,hutankbvfn@gmail.com,182.02,237.29
272, dbhujrcvyi@gmail.com,18.87,198.48
273,cuxdwghkbe@gmail.com,221.41,242.82
274,jmnehiipbd@gmail.com,224.29,139.32
275, veqekwpujj@gmail.com,155.99,102.1
276,wqpdrfbfks@gmail.com,65.42,128.74
277,cwkjwqthuy@gmail.com,193.08,22.81
278,apwvvqepjx@gmail.com,36.86,186.61
279,wjyypjffna@gmail.com,63.05,13.2
280, sbjyjvbtyn@gmail.com,80.42,41.94
281,wyivgbobbf@gmail.com,55.34,108.96
282, gllovvzarg@gmail.com,33.14,35.32
283,mgpakdvfwz@gmail.com,91.71,32.46
284,suwjrovqlz@gmail.com,147.67,48.65
285,cqyyrvqrnp@gmail.com,136.28,124.66
286,uzvwqwkyid@gmail.com,47.08,130.65
287,ybfbztovfr@gmail.com,76.98,13.73
288,kneuaqhphx@gmail.com,116.54,161.26
289, epcubpmzta@gmail.com,26.45,173.16
290,xmqaweuaav@gmail.com,61.5,231.41
291,etylatcsad@gmail.com,76.8,55.7
292,urcuuwnrsl@gmail.com,213.38,14.19
293, zufnmoeprm@gmail.com,121.16,22.48
294,etuytknhrx@gmail.com,103.03,241.38
295, xmvmrkejhw@gmail.com,107.71,127.58
296,ueyalhavoa@gmail.com,187.91,72.37
297,kqsklcbhss@gmail.com,142.52,6.44
298,nngwroeqki@gmail.com,221.26,216.16
299, crzbylkqxa@gmail.com,108.27,236.28
300,luxmihjhdf@gmail.com,156.12,212.9
301, zstowcvabk@gmail.com,194.4,134.18
302,hfkqgbprvb@gmail.com,91.74,221.4
303,wlwxjokmof@gmail.com,219.88,72.45
304,wsubpxkskn@gmail.com,223.17,189.49
305,mpkzrpwwzn@gmail.com,160.64,117.29
306, jpldcfawdu@gmail.com,174.51,183.11
307, xpjysyrbbx@gmail.com,50.51,100.05
308,qskxqleccy@gmail.com,40.4,227.11
309,guxolumjdn@gmail.com,85.42,7.3
310, enxeealnvg@gmail.com,141.18,66.41
311,kjjuzdarma@gmail.com,101.12,122.44
312,dqmqapoovn@gmail.com,202.76,126.94
313, pmkzhgvnng@gmail.com,182.67,221.93
314, hdkosfpfjl@gmail.com,101.98,85.11
315,xkzuamrrlh@gmail.com,14.59,146.9
316,vhwfqkuchq@gmail.com,2.59,245.99
317, xjqqpxnbri@gmail.com,172.38,1.22
318, ianjgxjbel@gmail.com,136.83,160.46
319,uqfqmhpepf@gmail.com,164.59,46.25
320,odevsvrzok@gmail.com,136.2,31.35
321, xogefuqege@gmail.com,196.19,237.91
322,enokqmorrc@gmail.com,196.33,25.27
323,extrcyeupl@gmail.com,113.68,211.09
324,zxiulirany@gmail.com,190.29,61.93
325, entdychmgt@gmail.com,30.27,39.99
326, azllcthemd@gmail.com,79.06,110.04
327, qcpzlwbekv@gmail.com,103.63,125.24
328, myifwjyrqv@gmail.com,68.49,6.49
329, gauvbielzj@gmail.com,209.37,172.42
330,wsydvecutv@gmail.com,236.41,135.69
331, kvkrptyrus@gmail.com,123.39,43.23
332, nicaestpvo@gmail.com,52.04,107.37
333,dfqdhnouru@gmail.com,211.99,222.93
334, dbqktpshpa@gmail.com,89.07,156.43
335,udnqqghhet@gmail.com,88.23,1.76
336,kkbipzuozn@gmail.com,58.94,131.74
337, ayhzegklwy@gmail.com,54.54,73.94
338,mgiqcctcvs@gmail.com,100.01,204.89
339,opiihnzcov@gmail.com,98.09,87.02
340,zfutdrekoc@gmail.com,64.72,171.73
341, jfwjqmhukw@gmail.com,121.59,216.37
342, qnueoloddr@gmail.com,73.39,173.58
343,fpasuwwtbo@gmail.com,141.58,111.0
344,batirvrsnk@gmail.com,50.88,101.27
345,pxaxztiwca@gmail.com,193.81,21.26
346, nfhfzykwfv@gmail.com,221.85,213.37
347,bbdpsttaot@gmail.com,138.15,184.67
348,lxlmfczneb@gmail.com,48.18,52.78
349, muxqmdquks@gmail.com,33.56,140.39
350,fgortncpca@gmail.com,126.71,66.7
351,jmipjbaofa@gmail.com,144.6,81.5
352, nitsmojaee@gmail.com,65.38,57.17
353,thrkrabisx@gmail.com,181.26,155.72
354, jdwumybcvr@gmail.com,124.75,96.96
355,zxcbrwipds@gmail.com,118.73,175.9
356,wxwdujhxkz@gmail.com,247.35,80.11
357, jjcetbpatg@gmail.com,21.54,145.96
358,mclfmrkmxt@gmail.com,179.49,137.31
359,fulrtxlfbt@gmail.com,228.04,217.57
360, srcmvheqnf@gmail.com,19.6,181.01
361,fayelwiheb@gmail.com,213.43,207.4
362, voxlkkpelc@gmail.com,18.64,58.54
363, nrrossawix@gmail.com,102.47,163.18
364,upjepueccp@gmail.com,59.35,68.53
365, uogczsvodi@gmail.com,72.38,247.06
366,mphhynqkbd@gmail.com,215.92,12.57
367,qdllqcpafi@gmail.com,40.14,34.02
368,htemtvnxxm@gmail.com,206.47,89.39
369,aqrvfkowsf@gmail.com,37.47,15.29
370, jxzxwxdafe@gmail.com,198.71,237.13
371,fjcdksjvsl@gmail.com,43.41,9.05
372,trsxqtmwfn@gmail.com,155.21,177.94
373, egxzovibqf@gmail.com,154.22,193.76
374,leesnnojwq@gmail.com,11.95,208.8
375,cwzrcphahf@gmail.com,154.64,27.3
376, hkfhjptxnq@gmail.com,78.98,10.78
377,nsefahknnj@gmail.com,154.22,170.58
378,jjhkjahkuo@gmail.com,170.71,149.36
379,jolcagbmwd@gmail.com,164.33,234.85
380,cxaqjqgxco@gmail.com,241.91,142.5
381,jgfnzajdya@gmail.com,229.44,166.36
382, kfmnschici@gmail.com,82.42,89.62
383,ovyilghujd@gmail.com,14.15,164.31
384,ujiyuddjux@gmail.com,234.12,208.71
385,hzhgoipjzh@gmail.com,213.8,245.48
386,ymcinxwghn@gmail.com,72.91,68.58
387, vmfihvoywi@gmail.com,240.99,50.23
388, hphttylvjz@gmail.com,11.56,10.46
389,eeunmcnxfq@gmail.com,16.56,249.47
390, wxhfhkrmpl@gmail.com,219.5,163.69
391,wklqmafwkc@gmail.com,177.26,238.72
392, ilashtizap@gmail.com,100.1,174.03
393,gdmbsgmphk@gmail.com,63.1,6.78
394,hqgbuabvhb@gmail.com,180.57,197.63
395, mzkmwrhnjk@gmail.com,98.35,6.22
396, siywjrvlra@gmail.com,182.07,167.53
397,xollrtxygh@gmail.com,210.5,243.62
398,clgirdrfpd@gmail.com,210.8,2.65
399,chwutausqo@gmail.com,140.36,124.46
400,vwcxqyslmj@gmail.com,91.58,84.78
401, haaxebvkrx@gmail.com,58.88,111.11
402,fyybeohwnk@gmail.com,44.06,4.97
403, bauwymryut@gmail.com,46.53,99.87
404,ijzenyzzwz@gmail.com,236.69,148.0
405, pvyaltgkbt@gmail.com,7.09,83.24
406, fklbyenpiq@gmail.com,18.37,64.31
407,nuacltcpbk@gmail.com,66.71,238.78
408,vpnkbmvbjq@gmail.com,48.29,41.88
409,lrtviwlapx@gmail.com,50.24,117.56
410, vpzxsytjvk@gmail.com,66.8,64.49
411,kiejrouxfd@gmail.com,215.39,110.44
412,eisgyzbted@gmail.com,183.1,205.16
413, aqhhhcqmka@gmail.com,19.26,182.2
414, gkaifhjved@gmail.com,171.67,80.21
415,nsgsldhtug@gmail.com,244.81,118.56
416,zugvwrxnuk@gmail.com,65.61,66.8
417, ytdwqfhcqe@gmail.com,234.76,182.01
418, leqqubqrfr@gmail.com,147.28,94.47
419, kgeoudisgk@gmail.com,26.03,124.4
420,wugtgypryw@gmail.com,231.61,22.75
421, nzbvqvhvsc@gmail.com,141.57,118.79
422,azywxeavps@gmail.com,57.36,80.57
423,vymdnbyndv@gmail.com,54.7,142.72
424, tlpbbgyusi@gmail.com,65.14,230.02
425,jidfhiqlzn@gmail.com,35.91,144.69
426, egvqojeogm@gmail.com,49.06,144.45
427, jwetbjeaqt@gmail.com,49.78,220.72
428,iwswzahtdi@gmail.com,240.97,30.68
429, svmnmcmdup@gmail.com,171.55,26.21
430,qgrxliygeq@gmail.com,246.49,233.01
431, zusyweatya@gmail.com,236.63,75.43
432, puifnajmcn@gmail.com,23.31,226.33
433, tdjsabsvqq@gmail.com,72.69,183.78
434,zubdkebuzi@gmail.com,162.35,46.13
435,niyvcfqfcj@gmail.com,143.47,197.95
436, olhjwmnlwm@gmail.com,39.13,72.95
437,ufsgtgebzn@gmail.com,127.75,120.03
438, chpwksstxo@gmail.com,33.18,137.34
439,gbxpgfuxaz@gmail.com,84.25,209.1
440,vplwlkglmg@gmail.com,175.87,98.5
441, nfhmbmlmyc@gmail.com,119.26,49.33
442,jpizhaxbbh@gmail.com,42.8,47.13
443,udrrhyzmmn@gmail.com,169.64,139.73
444,cghjudxflc@gmail.com,46.1,23.16
445, xsydycwxev@gmail.com,40.65,22.07
446,tvgphfxlff@gmail.com,109.18,164.93
447,nndoosgode@gmail.com,188.15,193.02
448,evcifsggwy@gmail.com,199.0,118.65
449,juaiwyrvmq@gmail.com,130.04,120.67
450, vyjaxryxzo@gmail.com,130.6,73.43
451,fnkojyxiwc@gmail.com,45.81,177.45
452,ezgdemzsca@gmail.com,155.49,235.65
453,lqxqkkgnlp@gmail.com,16.26,201.2
454,jmtgwfkqxp@gmail.com,162.22,64.27
455, wmhkoxepfu@gmail.com,22.28,40.51
456,bnxqpsnnzv@gmail.com,230.39,128.77
457, viuodzdnlu@gmail.com,162.31,242.22
458, auvlkzzohe@gmail.com,123.8,228.94
459,natunfnjey@gmail.com,91.67,87.84
460, rspqquhsvj@gmail.com,52.74,107.73
461,uwnlxndrkp@gmail.com,105.42,247.61
462,wkesqlhtmz@gmail.com,74.42,116.35
463,iccwcxqyfm@gmail.com,26.76,237.78
464,ufhzbfktpe@gmail.com,93.04,72.03
465, ustlpmuifs@gmail.com,105.2,175.93
466,dxdfvhrhdq@gmail.com,74.3,164.07
467, dpurdahfsq@gmail.com,15.78,90.54
468,ivtxjdznjo@gmail.com,29.84,63.63
469, iaevfthube@gmail.com,90.12,28.87
470,gornjivbay@gmail.com,35.89,221.84
471, zpsjisxela@gmail.com,44.06,181.18
472,sfumvgermn@gmail.com,121.39,157.62
473,cisalasjsk@gmail.com,163.89,76.88
474,qzmkadmzfh@gmail.com,193.54,183.96
475, hhwebbacgo@gmail.com,240.31,235.29
476,zwotzmewnt@gmail.com,210.64,221.74
477,egyxbxvodw@gmail.com,114.29,214.35
478,xwtmfmpzaq@gmail.com,51.18,144.7
479,jzityifzdw@gmail.com,96.71,119.26
480,mvmythbhhp@gmail.com,81.04,228.07
481, wfuxmdojan@gmail.com,48.12,9.38
482,cmpmtdcqul@gmail.com,209.14,81.22
483, etbvyezjsk@gmail.com,181.39,82.99
484,mkfdjcwvzx@gmail.com,122.42,131.02
485, iotlgujwrl@gmail.com,189.27,19.68
486,awlrejqtml@gmail.com,212.0,186.8
487,izbngsfwls@gmail.com,150.5,55.0
488,xjjyiayzlr@gmail.com,149.58,110.18
489, vthkmpwbyt@gmail.com,81.55,145.06
490,xrntjjksql@gmail.com,166.52,137.56
491,octbiiywgp@gmail.com,234.94,181.8
492, lgyrxczgrv@gmail.com,64.84,161.11
493,hsinfycfds@gmail.com,245.29,16.3
494,vwxqcgzams@gmail.com,6.44,84.08
495, wngpvmirxb@gmail.com,231.3,51.4
496,yjnsliqwzm@gmail.com,210.21,120.34
497, srhnyexxce@gmail.com,23.14,236.57
498,fezkpdtqwz@gmail.com,118.86,161.72
499, dhtfbxwglf@gmail.com,103.7,30.29
500,hzaiqocvns@gmail.com,236.93,69.32
501,wggpszsheu@gmail.com,157.32,110.23
502,qizwrktiuf@gmail.com,150.75,54.36
503, qnapsdyzae@gmail.com,155.21,199.26
504,gzquysxods@gmail.com,166.78,21.7
505,abfmhkwxah@gmail.com,112.09,112.65
506,hvccmyurow@gmail.com,9.68,82.15
507, exfunqajny@gmail.com,134.6,249.36
508,yggngolmxy@gmail.com,14.28,71.21
509,gkgjfeslha@gmail.com,103.16,209.38
510,ljrfwkgdns@gmail.com,87.05,56.88
511, godjyolref@gmail.com,184.45,32.67
512,bukyncxasi@gmail.com,241.81,69.03
513,joafcdyqid@gmail.com,171.11,171.63
514, gxsjqtomtl@gmail.com,111.5,78.1
515, akzlpljgeu@gmail.com,46.51,174.52
516,knbstgoldx@gmail.com,186.66,229.32
517,szvkrujvuc@gmail.com,101.54,141.18
518,ugoqnflyys@gmail.com,15.69,68.16
519, vkeyjwbwmi@gmail.com,92.09,144.41
520,roevbcrspy@gmail.com,19.66,215.74
521, eapcpwuymf@gmail.com,187.83,91.84
522, slihohclsm@gmail.com,44.52,244.56
523,elwlhwscxj@gmail.com,121.82,191.95
524, irgzajefta@gmail.com,13.43,213.66
525,qgjdqhfedn@gmail.com,21.55,217.16
526,uwzipyhbmi@gmail.com,37.22,130.58
527, arwtzxmkvx@gmail.com,162.99,134.48
528,duwkmukjzb@gmail.com,234.79,155.21
529,bhyzuttjia@gmail.com,71.07,73.5
530, sibmqdlksj@gmail.com,233.05,128.74
531,fgyokhdikh@gmail.com,28.4,38.11
532,afzkgoycvk@gmail.com,90.55,186.8
533,xaxdmbxowr@gmail.com,247.53,71.02
534,wyqesczjum@gmail.com,213.47,180.79
535,eurjlyjxmn@gmail.com,97.95,168.33
536,xbeylxlhbw@gmail.com,167.03,188.05
537,ylycnbphnq@gmail.com,182.74,12.19
538, hntijpvwzc@gmail.com,34.5,3.36
539,wrubwszlyi@gmail.com,49.13,83.88
540,vhkskhfxem@gmail.com,194.4,14.47
541,xqmemubdyl@gmail.com,110.45,157.19
542,ksrfhbuany@gmail.com,50.8,16.43
543,ytjjisjkvi@gmail.com,179.49,185.61
544,cwihujmvyh@gmail.com,78.34,243.41
545,tzlfashmel@gmail.com,182.79,172.79
546, kizrguusjm@gmail.com,93.52,4.4
547,smmyvignna@gmail.com,199.64,119.11
548,vuwoykphbv@gmail.com,58.05,223.22
549,kaocflmvje@gmail.com,11.45,97.66
550,ifysiqhppd@gmail.com,42.19,13.04
551, ukzmcfscwq@gmail.com,226.56,185.91
552,xghltfactx@gmail.com,110.71,69.29
553, deivcuejdo@gmail.com,6.07,95.34
554, efzxwymagm@gmail.com,68.48,166.98
555, oekrouopaq@gmail.com,37.95,122.96
556, bopnqnbysk@gmail.com,164.76,51.82
557,pocmtmxxlv@gmail.com,2.68,165.14
