,customer_email,current_year,last_year
60,xfyxqubwdj@gmail.com,98.59,33.36
61,yrhpyuazth@gmail.com,116.32,225.55
62,xjwtrozmud@gmail.com,235.13,142.72
63,kbdixhvqrj@gmail.com,124.71,19.64
64,bxrtwavbin@gmail.com,144.15,224.13
65,vvgftnehgs@gmail.com,24.55,214.17
66,vpljflunqb@gmail.com,124.75,206.33
67,cevshyfyva@gmail.com,73.95,81.35
68,riqhriudez@gmail.com,220.43,93.24
69,eaunxgwxyc@gmail.com,190.25,174.73
70,trptvmiguc@gmail.com,26.95,130.44
71,peamjuzvbp@gmail.com,54.16,43.94
72,nfdaytaxqw@gmail.com,75.62,200.22
73,doktkkiqph@gmail.com,151.47,70.94
74,darcteqlhr@gmail.com,164.46,38.13
75,azzzjywhkh@gmail.com,125.7,57.07
76,ycuffznrch@gmail.com,142.79,56.52
77,lsheydpvfx@gmail.com,58.9,190.4
78,mfzqpmoxcv@gmail.com,194.27,188.32
79,kghhyvlntq@gmail.com,32.72,27.82
80,jaoggkpgpy@gmail.com,227.37,136.81
81,oiudukmmnl@gmail.com,52.69,177.39
82,qyahdarpma@gmail.com,143.63,187.74
83,krfblbsiaz@gmail.com,212.52,177.32
84,ktvmbrpdba@gmail.com,140.67,227.87
85,zwppqlqqms@gmail.com,97.66,62.48
86,vaflooerxs@gmail.com,166.05,128.56
87,sinneqbejp@gmail.com,113.98,15.7
88,hhqbeznaga@gmail.com,235.42,113.67
89,bdrbfibyyw@gmail.com,220.87,102.69
90,lsxhhttoeo@gmail.com,57.66,109.98
91,bleayswkrn@gmail.com,94.52,37.68
92,wgnrlklbad@gmail.com,226.09,232.26
93,maojgwokqv@gmail.com,14.66,200.79
94,ibmobwulak@gmail.com,168.58,123.03
95,gmvbqqfdlp@gmail.com,194.47,7.33
96,xdxiyzjrdy@gmail.com,100.35,16.07
97,sgfhgdrqvd@gmail.com,168.58,124.6
98,byuvjxzokl@gmail.com,74.75,174.68
99,pmlkjqwzeg@gmail.com,187.86,139.08
100,yyzmqzauxs@gmail.com,187.02,185.24
101,ncrtxqtpvs@gmail.com,244.19,244.82
102,gabbpvlmor@gmail.com,14.7,245.29
103,hpdaekkpzm@gmail.com,206.98,155.4
104,ebholbsauf@gmail.com,116.63,56.76
105,yugkdamptz@gmail.com,149.88,11.13
106,cwkjwqthuy@gmail.com,12.9,193.08
107,qxwkefstla@gmail.com,178.53,105.83
108,xcomlotwya@gmail.com,96.29,68.33
109,mgpakdvfwz@gmail.com,238.89,91.71
110,jflfnakahc@gmail.com,29.42,235.73
111,rkbhlltvqk@gmail.com,195.35,100.29
112,ttdzmkzger@gmail.com,176.14,126.45
113,oghyffnaie@gmail.com,179.51,43.49
114,etylatcsad@gmail.com,231.6,76.8
115,klcngdeibv@gmail.com,6.71,124.41
116,xyefilkiqk@gmail.com,131.25,58.75
117,uaqqjruhde@gmail.com,167.48,174.86
118,kqsklcbhss@gmail.com,185.97,142.52
119,wlwxjokmof@gmail.com,196.06,219.88
120,iloqjxfhhj@gmail.com,155.63,139.7
121,qskxqleccy@gmail.com,183.86,40.4
122,nekjlnfntg@gmail.com,150.98,42.08
123,xkzuamrrlh@gmail.com,115.86,14.59
124,bqqyppbpbl@gmail.com,34.55,220.89
125,ehnwhelhsz@gmail.com,232.53,199.13
126,ytfqpcrogc@gmail.com,1.31,25.14
127,ewxxzvldfy@gmail.com,167.88,16.77
128,kpickugius@gmail.com,198.39,186.44
129,qegeckvpqd@gmail.com,157.72,210.14
130,vnioidaelx@gmail.com,117.72,53.18
131,fgfwebkyob@gmail.com,105.71,81.43
132,eorcacimri@gmail.com,210.15,184.38
133,ocewvfjhyw@gmail.com,100.24,53.39
134,fpasuwwtbo@gmail.com,43.78,141.58
135,lytiwtkitu@gmail.com,114.58,179.43
136,lxlmfczneb@gmail.com,4.13,48.18
137,fknhfpkhik@gmail.com,61.84,198.59
138,nktdampiwj@gmail.com,68.38,195.85
139,upjepueccp@gmail.com,33.57,59.35
140,oqfwekpxdd@gmail.com,80.94,12.32
141,nfnqpojtps@gmail.com,77.14,84.5
142,cwzrcphahf@gmail.com,105.78,154.64
143,wjhgxnjmex@gmail.com,80.48,149.1
144,ujiyuddjux@gmail.com,90.11,234.12
145,hzhgoipjzh@gmail.com,246.67,213.8
146,buzvochavu@gmail.com,57.97,149.18
147,gvvsmuiihb@gmail.com,196.21,128.73
148,yhgbuynwmk@gmail.com,112.31,209.27
149,rglvqsebqy@gmail.com,26.75,8.65
150,nuacltcpbk@gmail.com,209.05,66.71
151,dqqsgrzrnw@gmail.com,4.31,115.08
152,ddvggfufxr@gmail.com,106.47,2.13
153,oxlnkuwcnp@gmail.com,129.94,65.13
154,wugtgypryw@gmail.com,78.4,231.61
155,jidfhiqlzn@gmail.com,178.09,35.91
156,rdttytfqno@gmail.com,137.05,234.36
157,zubdkebuzi@gmail.com,189.15,162.35
158,pjeqdjfwvb@gmail.com,170.09,243.77
159,mawrexfwre@gmail.com,31.48,46.16
160,jpizhaxbbh@gmail.com,186.35,42.8
161,odyirxphaa@gmail.com,47.56,33.25
162,ryisbzeyol@gmail.com,46.06,232.8
163,jdjwopvgkg@gmail.com,240.12,206.31
164,jmtgwfkqxp@gmail.com,157.32,162.22
165,dpevymoqth@gmail.com,127.02,24.22
166,ivtxjdznjo@gmail.com,122.46,29.84
167,sfumvgermn@gmail.com,200.44,121.39
168,zqqtyerwec@gmail.com,110.0,31.12
169,alshoidkdl@gmail.com,235.81,177.74
170,ugxixjuukl@gmail.com,99.93,103.79
171,jnczhzlepx@gmail.com,45.0,121.71
172,cigbknxcpi@gmail.com,202.3,119.13
173,mkfdjcwvzx@gmail.com,183.07,122.42
174,ibcciwobht@gmail.com,213.05,142.46
175,vvvharszvm@gmail.com,18.68,107.45
176,awlrejqtml@gmail.com,174.59,212.0
177,cwvylzitlr@gmail.com,191.65,43.37
178,xlomvgpzem@gmail.com,237.53,195.03
179,octbiiywgp@gmail.com,127.65,234.94
180,vuyqqflywh@gmail.com,42.2,28.78
181,raaafplyzx@gmail.com,117.54,245.36
182,hqlaajbneh@gmail.com,231.75,186.19
183,bqzblvfpdz@gmail.com,186.61,21.03
184,dgzbbcoemo@gmail.com,238.98,3.37
185,abfmhkwxah@gmail.com,37.38,112.09
186,vonhhfotis@gmail.com,197.71,213.63
187,smuqhzykmj@gmail.com,43.12,181.53
188,ivfttonmjq@gmail.com,179.45,182.25
189,nzzcrchndi@gmail.com,100.5,176.83
190,sfjmjmbtwx@gmail.com,148.5,91.96
191,aqpevezuho@gmail.com,231.7,86.51
192,uwdgpfcnaz@gmail.com,78.4,75.03
193,aqhivaclrl@gmail.com,227.12,61.35
194,kgovzqieuq@gmail.com,164.86,58.78
195,bhyzuttjia@gmail.com,26.73,71.07
196,xxggtzxwma@gmail.com,53.61,126.84
197,vegcurtxop@gmail.com,189.06,53.49
198,sdzrocleoc@gmail.com,85.39,76.28
199,tzxivrzrot@gmail.com,172.05,79.07
200,derrgbjldt@gmail.com,64.98,54.92
201,tzlfashmel@gmail.com,18.07,182.79
202,eaqjvhlifm@gmail.com,44.74,137.47
203,pocmtmxxlv@gmail.com,59.03,2.68
204,tkhrnmdigo@gmail.com,210.14,148.16
205,ubghskvbts@gmail.com,192.5,191.05
206,nmgggzqugo@gmail.com,140.28,20.0
207,vbosdmalmt@gmail.com,229.47,140.64
208,wvawsqplvj@gmail.com,233.08,132.38
209,xncnwkfxcc@gmail.com,33.98,169.41
210,crcbvtgvtu@gmail.com,199.94,71.65
211,iktgdzycyr@gmail.com,3.72,87.98
212,gzosjcsphh@gmail.com,121.04,98.76
213,ytrkogekor@gmail.com,135.11,100.97
214,slhksndisc@gmail.com,95.03,141.74
215,pkxcqvlrst@gmail.com,208.35,114.89
216,hywaxdsqfk@gmail.com,96.27,155.44
217,hpmblzlwfs@gmail.com,39.52,108.7
218,qwxbwxcdtv@gmail.com,74.42,139.96
219,qiwaowntaa@gmail.com,156.71,76.79
220,ucccpogsys@gmail.com,93.37,18.01
221,bbjmjfzmwn@gmail.com,114.64,196.59
222,yeiypktapl@gmail.com,90.06,151.11
223,yqgmpeagol@gmail.com,223.66,102.69
224,lwtpeasuyv@gmail.com,72.44,21.36
225,pkxeonsyuy@gmail.com,2.73,99.33
226,dwfnfyiezr@gmail.com,138.77,85.81
227,gtgadsxnfu@gmail.com,227.64,69.69
228,xchsccfijg@gmail.com,198.73,78.49
229,hfsrsnaiux@gmail.com,169.97,23.57
230,surmyjjctc@gmail.com,187.44,149.75
231,ljuprdhuqs@gmail.com,118.93,22.84
232,ksjmoazdew@gmail.com,71.78,22.58
233,spcghfbktf@gmail.com,69.83,18.43
234,nfxdaxftgl@gmail.com,96.14,176.37
235,wthdkuboif@gmail.com,246.37,113.51
236,thnikzxhgo@gmail.com,124.03,33.45
237,idjmcoxfhu@gmail.com,185.78,182.63
238,ybjiqdgswj@gmail.com,88.57,14.04
239,scmxdbyjbu@gmail.com,34.7,125.82
240,vuvkasxsis@gmail.com,62.82,149.88
241,cwojdqoajt@gmail.com,199.64,16.42
242,snxpcajkcz@gmail.com,233.83,79.88
243,nhyglogyyu@gmail.com,126.46,164.73
244,jpchkiudmf@gmail.com,205.55,60.2
245,iidgkcyyrg@gmail.com,151.99,194.35
246,rblsbwgrug@gmail.com,225.0,149.83
247,ctjmbovqoz@gmail.com,135.06,56.08
248,qdizlycmzn@gmail.com,54.24,194.14
249,ztgqipforx@gmail.com,107.81,135.09
250,wpvvqivakv@gmail.com,137.77,138.94
251,kiylncowno@gmail.com,65.35,180.67
252,xprlcfzzbn@gmail.com,8.65,8.85
253,kkchafngbx@gmail.com,233.49,243.79
254,jbvwgmmjvo@gmail.com,100.94,115.44
255,iulaubrcyq@gmail.com,195.58,105.33
256,ztahgcswtp@gmail.com,203.78,206.4
257,julpayvcph@gmail.com,139.5,198.5
258,jfiqfqheku@gmail.com,106.61,27.42
259,lzpjfhgizp@gmail.com,38.4,11.87
260,urmrtesfog@gmail.com,175.96,25.98
261,wlfosuznfu@gmail.com,39.08,115.21
262,hdbbcbycop@gmail.com,231.59,35.17
263,wyawwrtwxw@gmail.com,24.18,58.99
264,vovbmkraqh@gmail.com,216.76,205.64
265,agldnjzaji@gmail.com,221.51,125.21
266,pgkvmvzaqo@gmail.com,238.77,62.76
267,gnzidydihf@gmail.com,164.89,48.2
268,utrzbpidad@gmail.com,228.83,24.56
269,yuvemidadl@gmail.com,227.88,159.97
270,ppcqbmxtbt@gmail.com,17.7,217.04
271,ajtxletwhs@gmail.com,86.38,2.03
272,onrkugzgva@gmail.com,224.26,176.15
273,dzlbqkweqv@gmail.com,12.18,130.5
274,uesmoknvoh@gmail.com,231.5,101.63
275,vtzukwzlix@gmail.com,196.09,70.17
276,mdqdjrfboc@gmail.com,62.52,223.32
277,ufntiyqucy@gmail.com,183.42,151.27
278,ylzaymqakn@gmail.com,234.14,227.94
279,glrmgkqzwk@gmail.com,13.43,199.05
280,teesiohlrh@gmail.com,86.12,82.39
281,kjbboqnfzm@gmail.com,164.07,69.01
282,askccmmpkt@gmail.com,97.11,149.27
283,hqhdikziqk@gmail.com,178.9,101.98
284,ravkwqvied@gmail.com,57.09,90.54
285,hsgtfqgamf@gmail.com,76.65,236.19
286,hofifjafie@gmail.com,17.23,150.88
287,lutsshgqme@gmail.com,196.97,134.29
288,oqwihxawgj@gmail.com,220.86,17.13
289,ifthbezhiu@gmail.com,169.5,229.26
290,oqyaupjobi@gmail.com,50.6,61.25
291,fqmjfrlgtq@gmail.com,125.76,173.42
292,ermojzukqj@gmail.com,33.94,193.0
293,lisgpghjym@gmail.com,78.74,170.73
294,vozdqswnzm@gmail.com,19.0,111.77
295,pzbddegvyn@gmail.com,114.73,63.02
296,hpswtmniac@gmail.com,191.65,129.7
297,owhsykzkpq@gmail.com,61.55,103.1
298,jsuzetjwto@gmail.com,163.22,92.15
299,omoogdualz@gmail.com,100.98,180.84
300,izowtnbwbu@gmail.com,113.4,210.36
301,tnsnlqnrwb@gmail.com,36.55,237.41
302,mbxznpvibb@gmail.com,205.49,33.73
303,bpnsbbcess@gmail.com,110.84,173.83
304,kuxzvaiwhi@gmail.com,178.68,112.33
305,wpnhijybvu@gmail.com,101.46,52.15
306,suwgqhhpda@gmail.com,146.88,8.43
307,okcxohsqsi@gmail.com,3.16,143.38
308,btsroqojnt@gmail.com,189.86,192.88
309,vusxpwtttl@gmail.com,107.9,86.46
310,mtzvrgbcnq@gmail.com,241.58,55.2
311,mazjdoodhc@gmail.com,23.66,17.61
312,mxpiclyutf@gmail.com,168.23,175.67
313,ucxxrluvas@gmail.com,191.5,107.75
314,ryqktowmxh@gmail.com,148.26,185.81
315,iwniqwigjq@gmail.com,237.28,3.13
316,idcmxtvzna@gmail.com,113.94,230.59
317,ikwxulnwvk@gmail.com,233.67,58.71
318,anlulsbson@gmail.com,216.75,229.16
319,vigeynywuo@gmail.com,46.28,156.08
320,tysdmtsxmr@gmail.com,94.21,71.49
321,asuxdtbkrt@gmail.com,140.73,156.21
322,lvommhdtzg@gmail.com,59.19,190.53
323,abgisnmrku@gmail.com,125.97,100.09
324,wcjbztpczi@gmail.com,149.18,1.21
325,ddpsqjbiwo@gmail.com,215.93,65.67
326,qzaqwlnfjt@gmail.com,209.49,28.11
327,byogpvdvlp@gmail.com,113.1,112.37
328,iatzarxktr@gmail.com,221.16,163.63
329,lbgpolhnhb@gmail.com,89.29,165.88
330,oceldebhpy@gmail.com,191.7,229.65
331,pksuzlexkf@gmail.com,49.97,30.07
332,kxuniowqmn@gmail.com,103.69,229.2
333,mxcfvzpenl@gmail.com,7.65,30.07
334,mhdunrqzgv@gmail.com,63.63,187.19
335,juzwywhyvb@gmail.com,128.4,203.29
336,ivizkqpzoy@gmail.com,55.09,90.61
337,ixhfzskkkr@gmail.com,170.22,107.94
338,juoycltrgu@gmail.com,86.3,140.89
339,ofzellznmx@gmail.com,111.94,210.13
340,enyjudvfol@gmail.com,102.36,25.61
341,mzerpfaujb@gmail.com,198.08,148.55
342,rzbvmrikpu@gmail.com,94.88,182.14
343,mymbipwllb@gmail.com,88.13,222.0
344,hmyafpfamc@gmail.com,207.84,119.34
345,fpueqavknw@gmail.com,44.41,233.13
346,tdypcolvmn@gmail.com,245.6,14.24
347,eajdcjrqkc@gmail.com,86.95,116.19
348,zxcanzkugx@gmail.com,50.15,113.86
349,aomyfenmts@gmail.com,183.31,8.78
350,ocbyfzgkvd@gmail.com,163.02,228.27
351,yzqxjkibpe@gmail.com,179.59,61.16
352,jahvzfscxc@gmail.com,248.04,213.14
353,ycklosehog@gmail.com,186.74,164.78
354,foglhhexqo@gmail.com,199.46,161.53
355,hvefvligrm@gmail.com,135.07,33.87
356,gdjghefdmm@gmail.com,118.33,51.26
357,fzgeetnkya@gmail.com,240.77,71.53
358,rbxnlzxhqr@gmail.com,32.81,246.52
359,poaenovbag@gmail.com,17.6,225.98
360,omgqcansmi@gmail.com,136.14,179.82
361,ntmvkuoeyz@gmail.com,190.03,188.17
362,fqzsuhufim@gmail.com,139.63,203.94
363,bsppopwxik@gmail.com,37.83,218.47
364,zhvecczgwe@gmail.com,117.18,92.19
365,uvvkrhjclb@gmail.com,65.22,131.84
366,yxzjmzktto@gmail.com,46.68,150.05
367,ojppzxhjkh@gmail.com,74.62,38.76
368,hyufgnifkv@gmail.com,136.34,164.19
369,gqhwyxuhrw@gmail.com,53.89,27.89
370,qipmsrsbhn@gmail.com,112.23,61.3
371,mhblwbnuwr@gmail.com,227.22,15.13
372,zdivqblrsv@gmail.com,69.2,58.53
373,nafdvcqlhg@gmail.com,30.58,28.18
374,afuplwstkz@gmail.com,45.7,88.35
375,mmtblbxlpl@gmail.com,199.0,45.1
376,bxiyzhwflv@gmail.com,220.44,192.7
377,wyiybpuysx@gmail.com,30.57,106.52
378,xeleodiweu@gmail.com,98.72,227.85
379,ombmlovson@gmail.com,83.06,177.63
380,rdvqqanete@gmail.com,74.49,8.2
381,qvnpictaod@gmail.com,89.13,210.71
382,zingzlslfr@gmail.com,99.2,83.08
383,lurlyxwmpv@gmail.com,241.65,175.89
384,grymkfuawu@gmail.com,111.04,177.46
385,hrsjivjgxv@gmail.com,86.82,138.27
386,bxcbmpkcxn@gmail.com,100.49,74.39
387,xmmzvvpsbp@gmail.com,44.97,81.05
388,ptsnxocrnm@gmail.com,231.06,217.32
389,fmtkpcbbcm@gmail.com,61.84,144.37
390,xrwlthnbcw@gmail.com,90.51,16.95
391,nmkrkojrpv@gmail.com,177.21,249.91
392,yvurwxgxtd@gmail.com,142.08,168.02
393,izxdmedrfp@gmail.com,200.5,3.59
394,tlixtlwyoc@gmail.com,22.12,93.83
395,aaubsxyhui@gmail.com,123.65,38.35
396,xtokwookdn@gmail.com,161.43,211.82
397,nvqhuizzbu@gmail.com,172.01,72.91
398,knsopgixdm@gmail.com,141.63,145.3
399,ffccusqyrn@gmail.com,188.24,52.03
400,gfdgtjwixy@gmail.com,89.39,109.07
401,grinbtpzue@gmail.com,224.32,249.14
402,ocsshtzunt@gmail.com,241.78,210.18
403,mhcbbcqdno@gmail.com,194.28,82.39
404,aacpbgkntc@gmail.com,8.28,136.06
405,xhjuyyxnay@gmail.com,204.14,66.2
406,reuaiezndk@gmail.com,60.49,239.59
407,kawpnmooio@gmail.com,172.34,40.41
408,iyljwinwse@gmail.com,164.13,93.5
409,rnxjsateco@gmail.com,234.51,132.81
410,ixcpalsuag@gmail.com,36.55,77.31
411,jgeeioqsnh@gmail.com,109.43,205.23
412,jxyhknqtuj@gmail.com,242.65,63.45
413,ldpbnspwow@gmail.com,77.28,19.13
414,dmjdemjpog@gmail.com,120.98,181.87
415,mbwxaccshp@gmail.com,54.63,52.4
416,guqkwzjbks@gmail.com,136.17,135.86
417,oxnuwghvud@gmail.com,228.13,71.21
418,awhokhlxmw@gmail.com,100.15,25.8
419,ancyxceeom@gmail.com,79.85,181.49
420,euiuwckcmk@gmail.com,70.73,90.44
421,xrplnqlibt@gmail.com,3.07,22.24
422,tqlkgubgrl@gmail.com,82.11,47.92
423,mweoxzlboo@gmail.com,11.34,94.82
424,roshekhgju@gmail.com,42.62,117.73
425,dadrppxyrq@gmail.com,112.06,39.65
426,owwmhctxso@gmail.com,41.98,177.92
427,itgdwhqxad@gmail.com,177.37,14.37
428,sjcimsyahm@gmail.com,25.73,13.65
429,rwkjeclglm@gmail.com,135.15,169.65
430,dymalnstmi@gmail.com,150.85,128.34
431,etybxxsuip@gmail.com,89.74,187.97
432,ushrzczovz@gmail.com,28.78,30.15
433,tjfeozygla@gmail.com,58.94,126.18
434,temavjfach@gmail.com,40.51,58.59
435,inodfosvhz@gmail.com,143.79,221.0
436,pzuxmukldm@gmail.com,229.34,2.76
437,vjvppkrute@gmail.com,117.1,184.81
438,hkoqddxltv@gmail.com,173.59,68.02
439,wowbvdvdja@gmail.com,90.59,25.48
440,nralcdjoar@gmail.com,175.58,61.88
441,ndurrmkwbi@gmail.com,83.14,5.9
442,omvxxmcypj@gmail.com,208.67,236.47
443,ctnuiukfyq@gmail.com,231.71,40.91
444,tlzdptslvy@gmail.com,89.09,199.03
445,jxugaacgyh@gmail.com,52.67,23.36
446,fmnkrzhvhn@gmail.com,161.36,66.65
447,vubcnnkxir@gmail.com,28.04,97.0
448,pmddfupxao@gmail.com,46.45,201.38
449,rnukjtnipr@gmail.com,78.21,191.6
450,afrlmnciqb@gmail.com,38.6,172.75
451,xstorlbqlr@gmail.com,21.66,57.43
452,qohqqphuqs@gmail.com,102.75,131.05
453,zwbnehvfeq@gmail.com,208.26,238.38
454,cxwhbfjenu@gmail.com,6.98,116.71
455,xmmwiutxwq@gmail.com,224.73,34.18
456,kkxowcesvp@gmail.com,180.63,31.27
457,lrzrqpfjvd@gmail.com,116.23,93.45
458,ggdkcwyilj@gmail.com,180.42,231.2
459,foqmkejnov@gmail.com,68.54,57.18
460,tuerlyohjk@gmail.com,205.77,132.88
461,xpylhzdvxg@gmail.com,168.49,155.42
462,dbjzxcpdza@gmail.com,69.22,119.73
463,pyfsmjongr@gmail.com,198.42,23.71
464,rlgcvljjpv@gmail.com,144.64,127.86
465,onzgapddws@gmail.com,160.02,116.54
466,tobycdqrmq@gmail.com,239.06,221.91
467,ueamhrvkcg@gmail.com,244.86,162.55
468,ssayazcrcj@gmail.com,1.25,20.74
469,uuidjcehrk@gmail.com,41.0,127.61
470,kpjrqvvjyq@gmail.com,226.18,156.08
471,qrosppjogt@gmail.com,181.85,201.13
472,gqoltfkwjc@gmail.com,162.12,121.13
473,gdoxdjipta@gmail.com,140.64,1.17
474,mabqnaepwe@gmail.com,243.93,35.95
475,apximwrras@gmail.com,185.73,73.34
476,zbyfifqylj@gmail.com,106.96,194.31
477,bgghrdnyge@gmail.com,24.86,211.71
478,zzesdorrca@gmail.com,155.58,49.43
479,yvzkcvleec@gmail.com,62.55,16.39
480,noptszmqiw@gmail.com,185.0,133.39
481,vjmnvorxah@gmail.com,199.5,108.72
482,earcycsvsh@gmail.com,41.33,27.46
483,vlhswrsuti@gmail.com,49.34,247.48
484,bokfkpewss@gmail.com,125.92,115.31
485,rtabzlhjnt@gmail.com,21.72,187.7
486,rhjhfxctea@gmail.com,101.25,189.21
487,efudtglthg@gmail.com,117.21,146.78
488,icjuolytnw@gmail.com,78.35,102.61
489,rohuadfscg@gmail.com,2.18,109.64
490,gzsfyovmxk@gmail.com,234.7,113.33
491,vvogauogzh@gmail.com,170.13,113.69
492,sytrfrosjq@gmail.com,39.76,155.4
493,zjiolumwdz@gmail.com,246.61,159.3
494,reivumapzv@gmail.com,140.78,190.43
495,tcbllxgqgi@gmail.com,99.36,198.19
496,adickjzgxj@gmail.com,229.05,34.81
497,rtmmlhiyni@gmail.com,233.09,109.16
498,rsflspiapz@gmail.com,190.21,27.02
499,vwawpobybl@gmail.com,168.13,226.55
500,oifemvxyik@gmail.com,177.62,20.8
501,muwrpppaey@gmail.com,55.83,74.17
502,sahdxqajcb@gmail.com,54.76,199.28
503,ajuufbemxt@gmail.com,207.03,107.45
504,vczentvgok@gmail.com,159.06,59.05
505,ejzmjswwfh@gmail.com,150.75,170.43
506,rlmjqtyqtr@gmail.com,58.72,20.32
507,rmkajkbbny@gmail.com,79.85,39.95
508,djrhjobuvd@gmail.com,242.22,231.66
509,cxgtvjwfop@gmail.com,188.32,88.58
510,vklvbbypwn@gmail.com,130.8,98.91
511,emnhcbydwf@gmail.com,185.57,33.41
512,fzlnmmrsql@gmail.com,182.72,129.66
513,batmgkkvjj@gmail.com,130.11,14.15
514,pdcfvjuhmb@gmail.com,167.09,30.34
515,rwrbeblhfc@gmail.com,155.58,166.15
516,vuaeqjjlra@gmail.com,236.91,149.86
517,sfkezocxmw@gmail.com,161.82,186.77
518,sfmwjtwzrz@gmail.com,29.57,147.72
519,pbwcukszqs@gmail.com,78.74,75.03
520,luzdhijwli@gmail.com,59.98,241.02
521,dyjtlrkcop@gmail.com,29.66,45.7
522,eadhcorgxb@gmail.com,248.05,20.6
523,jcsjzqdyih@gmail.com,226.36,125.89
524,kuosifctyi@gmail.com,4.73,14.59
525,wuxvtmcqhn@gmail.com,164.24,187.78
526,jhadvumqoo@gmail.com,194.93,180.03
527,cvftkplndl@gmail.com,248.2,39.21
528,exefyktbqj@gmail.com,52.67,144.61
529,psiecwhxuf@gmail.com,222.3,4.16
530,rxpryhizyk@gmail.com,70.58,7.44
531,jslynoebcx@gmail.com,4.47,82.95
532,dmssxbazwv@gmail.com,99.12,83.34
533,utorlverdo@gmail.com,240.45,38.21
534,njygataije@gmail.com,124.47,3.1
535,hujleakxay@gmail.com,216.04,122.26
536,zbkndycbke@gmail.com,30.32,175.6
537,hghulcgjlb@gmail.com,150.29,200.93
538,hlutlsacvi@gmail.com,174.65,173.7
539,hdybxydijp@gmail.com,144.54,96.41
540,gkakvieenr@gmail.com,241.41,219.45
541,agcpjmpewz@gmail.com,87.4,9.52
542,ouzekcnxog@gmail.com,13.93,241.62
543,qpffahuqxq@gmail.com,247.97,66.14
544,thlxjpljgg@gmail.com,131.84,71.81
545,qbmierrbrp@gmail.com,40.37,187.36
546,whzvrjhfim@gmail.com,13.55,200.72
547,qhnbbumezm@gmail.com,51.38,74.47
548,zvldzyyivq@gmail.com,205.54,206.24
549,sxhwhacbhy@gmail.com,220.75,122.77
550,motledeeoy@gmail.com,50.11,241.48
551,ludubfdfju@gmail.com,25.18,234.42
552,cxkgjwkfdo@gmail.com,44.07,157.49
553,dcgtruqawe@gmail.com,90.93,216.55
554,vfendddbwq@gmail.com,97.42,210.14
555,sfsjliopzi@gmail.com,90.12,71.8
556,roeurbyomc@gmail.com,145.16,193.58
